FECHA VENTA,ANIO VENTA,MES VENTA,DIA VENTA,CODIGO MUNICIPIO_DANE,MUNICIPIO INSTALACION,LATITUD,LONGITUD,EDS ACTIVAS,NUMERO DE VENTAS,VEHICULOS ATENDIDOS,CANTIDAD VOLUMEN SUMINISTRADO
08/02/2023 12:00:00 AM,2023,8,2,15152,DUITAMA,58906025887,-730670928955,2,188,140,2470.53
08/16/2023 12:00:00 AM,2023,8,16,15151,CHIQUINQUIRA,56224880219,-738042449951,1,346,254,3056.53
08/30/2023 12:00:00 AM,2023,8,30,15151,CHIQUINQUIRA,56224880219,-738042449951,2,301,231,2657.03
08/18/2023 12:00:00 AM,2023,8,18,15151,CHIQUINQUIRA,56224880219,-738042449951,1,441,293,3400.49
08/10/2023 12:00:00 AM,2023,8,10,15152,DUITAMA,58906025887,-730670928955,2,213,157,3206.54
08/16/2023 12:00:00 AM,2023,8,16,15152,DUITAMA,58906025887,-730670928955,2,170,115,1775.7
08/27/2023 12:00:00 AM,2023,8,27,15150,TUNJA,55184726715,-733780212402,2,349,252,3299.91
08/19/2023 12:00:00 AM,2023,8,19,15152,DUITAMA,58906025887,-730670928955,2,220,169,2314.98
08/18/2023 12:00:00 AM,2023,8,18,15152,DUITAMA,58906025887,-730670928955,2,221,162,2264.7
08/23/2023 12:00:00 AM,2023,8,23,15152,DUITAMA,58906025887,-730670928955,2,208,154,2613.56
08/06/2023 12:00:00 AM,2023,8,6,15150,TUNJA,55184726715,-733780212402,2,362,247,3491.44
08/22/2023 12:00:00 AM,2023,8,22,15157,SOGAMOSO,56466722488,-728709564209,1,226,170,1922.51
08/06/2023 12:00:00 AM,2023,8,6,15157,SOGAMOSO,56466722488,-728709564209,1,216,136,1587.14
08/18/2023 12:00:00 AM,2023,8,18,15157,SOGAMOSO,56466722488,-728709564209,1,260,174,2213.78
08/08/2023 12:00:00 AM,2023,8,8,15157,SOGAMOSO,56466722488,-728709564209,1,241,176,2091.08
08/01/2023 12:00:00 AM,2023,8,1,15157,SOGAMOSO,56466722488,-728709564209,1,243,173,2261.28
08/13/2023 12:00:00 AM,2023,8,13,15157,SOGAMOSO,56466722488,-728709564209,1,201,123,1576.35
08/18/2023 12:00:00 AM,2023,8,18,15150,TUNJA,55184726715,-733780212402,2,471,331,5108.02
08/05/2023 12:00:00 AM,2023,8,5,15157,SOGAMOSO,56466722488,-728709564209,1,286,183,2419.54
08/16/2023 12:00:00 AM,2023,8,16,15150,TUNJA,55184726715,-733780212402,2,406,299,4538.66
08/11/2023 12:00:00 AM,2023,8,11,15151,CHIQUINQUIRA,56224880219,-738042449951,2,366,277,3384.75
08/20/2023 12:00:00 AM,2023,8,20,15151,CHIQUINQUIRA,56224880219,-738042449951,2,378,275,3039.66
08/09/2023 12:00:00 AM,2023,8,9,15151,CHIQUINQUIRA,56224880219,-738042449951,2,382,282,3520.01
08/29/2023 12:00:00 AM,2023,8,29,15150,TUNJA,55184726715,-733780212402,2,395,291,4.685
08/13/2023 12:00:00 AM,2023,8,13,15150,TUNJA,55184726715,-733780212402,2,351,260,3561.65
08/25/2023 12:00:00 AM,2023,8,25,15151,CHIQUINQUIRA,56224880219,-738042449951,2,386,278,3325.68
08/04/2023 12:00:00 AM,2023,8,4,15150,TUNJA,55184726715,-733780212402,2,460,334,4975.1
08/31/2023 12:00:00 AM,2023,8,31,15151,CHIQUINQUIRA,56224880219,-738042449951,2,360,263,3048.69
08/31/2023 12:00:00 AM,2023,8,31,15152,DUITAMA,58906025887,-730670928955,2,194,155,2617.72
08/12/2023 12:00:00 AM,2023,8,12,15151,CHIQUINQUIRA,56224880219,-738042449951,2,371,271,2927.28
08/19/2023 12:00:00 AM,2023,8,19,15150,TUNJA,55184726715,-733780212402,2,494,363,5019.53
08/05/2023 12:00:00 AM,2023,8,5,15150,TUNJA,55184726715,-733780212402,2,478,363,4912.8
08/28/2023 12:00:00 AM,2023,8,28,15151,CHIQUINQUIRA,56224880219,-738042449951,2,365,264,3083.67
08/01/2023 12:00:00 AM,2023,8,1,15151,CHIQUINQUIRA,56224880219,-738042449951,2,371,268,3226.21
08/12/2023 12:00:00 AM,2023,8,12,15152,DUITAMA,58906025887,-730670928955,2,193,148,2304.15
08/22/2023 12:00:00 AM,2023,8,22,15151,CHIQUINQUIRA,56224880219,-738042449951,2,380,276,3324.02
08/21/2023 12:00:00 AM,2023,8,21,15151,CHIQUINQUIRA,56224880219,-738042449951,2,326,258,2919.78
08/20/2023 12:00:00 AM,2023,8,20,15150,TUNJA,55184726715,-733780212402,2,317,239,3166.9
08/14/2023 12:00:00 AM,2023,8,14,15157,SOGAMOSO,56466722488,-728709564209,1,242,170,2271.76
08/28/2023 12:00:00 AM,2023,8,28,15152,DUITAMA,58906025887,-730670928955,2,200,155,2345.33
08/24/2023 12:00:00 AM,2023,8,24,15150,TUNJA,55184726715,-733780212402,2,409,295,4354.68
08/10/2023 12:00:00 AM,2023,8,10,15151,CHIQUINQUIRA,56224880219,-738042449951,2,348,245,2816.3
08/15/2023 12:00:00 AM,2023,8,15,15151,CHIQUINQUIRA,56224880219,-738042449951,2,348,258,3204.21
08/27/2023 12:00:00 AM,2023,8,27,15157,SOGAMOSO,56466722488,-728709564209,1,207,123,1681.51
08/03/2023 12:00:00 AM,2023,8,3,15150,TUNJA,55184726715,-733780212402,2,446,315,5142.16
08/04/2023 12:00:00 AM,2023,8,4,15157,SOGAMOSO,56466722488,-728709564209,1,263,188,2312.66
08/17/2023 12:00:00 AM,2023,8,17,15157,SOGAMOSO,56466722488,-728709564209,1,241,174,2240.32
08/07/2023 12:00:00 AM,2023,8,7,15150,TUNJA,55184726715,-733780212402,2,361,276,3608.09
08/17/2023 12:00:00 AM,2023,8,17,15150,TUNJA,55184726715,-733780212402,2,453,316,4674.95
07/13/2023 12:00:00 AM,2023,7,13,15151,CHIQUINQUIRA,56224880219,-738042449951,2,467,323,3670.64
07/14/2023 12:00:00 AM,2023,7,14,15152,DUITAMA,58906025887,-730670928955,2,235,169,2604.21
07/28/2023 12:00:00 AM,2023,7,28,15152,DUITAMA,58906025887,-730670928955,2,185,137,1800.91
07/29/2023 12:00:00 AM,2023,7,29,15157,SOGAMOSO,56466722488,-728709564209,1,247,165,2288.01
07/22/2023 12:00:00 AM,2023,7,22,15151,CHIQUINQUIRA,56224880219,-738042449951,2,497,345,4149.16
07/29/2023 12:00:00 AM,2023,7,29,15152,DUITAMA,58906025887,-730670928955,2,213,169,3802.14
07/19/2023 12:00:00 AM,2023,7,19,15150,TUNJA,55184726715,-733780212402,2,410,308,4535.35
07/15/2023 12:00:00 AM,2023,7,15,15150,TUNJA,55184726715,-733780212402,2,402,299,4265.72
07/19/2023 12:00:00 AM,2023,7,19,15151,CHIQUINQUIRA,56224880219,-738042449951,2,458,330,3928.23
